Acura NSX '17,愛丁堡圓環環道(我),01:12.593,03:51.967
Acura NSX '17,EDINBURGH 車站環道,00:55.120,02:54.679
Acura NSX '17,EDINBURGH 城市環道賽(我),00:53.599,04:38.049
Acura NSX '17,EDINBURGH GRAND PRIX(B),01:48.997,05:38.666
Acura NSX '17,愛丁堡北區圓環環道5圈(我),01:14.041,06:22.953
Acura NSX '17,愛丁堡圓環環道(我),01:14.169,03:51.721
LEXUS LFA,EDINBURGH GRAND PRIX(B),01:45.933,05:31.019
Jaguar C-X75,PRINCES STREET GARDENS 環道,00:51.237,02:40.459
Apollo IE '18,PRINCES STREET GARDENS 環道,00:49.097,02:32.780
AM Vulcan FE,PRINCES STREET GARDENS 環道,00:48.760,02:33.060
WP FERRARI F50,PRINCES STREET GARDENS 環道,00:48.866,02:33.920
Lambo Centenario,PRINCES STREET GARDENS 環道,00:48.600,02:34.497
Porsche Cayman,PRINCES STREET GARDENS 環道,00:53.600,02:47.222
Lotus Elise GT1,PRINCES STREET GARDENS 環道,00:48.465,02:34.560
Koenigsegg CCGT,PRINCES STREET GARDENS 環道,00:48.859,02:34.663
DIABLO GTR,PRINCES STREET GARDENS 環道,00:48.664,02:35.957
Lambo Sesto,PRINCES STREET GARDENS 環道,00:47.308,02:30.005
McLaren Senna,EDINBURGH GRAND PRIX(B),01:38.298,05:07.501
McLaren Senna,PRINCES STREET GARDENS 環道,00:48.995,02:37.624
#94 VW I.D. R,PRINCES STREET GARDENS 環道,00:49.066,02:35.423
#94 VW I.D. R,EDINBURGH GRAND PRIX(B),01:38.488,05:02.887
#94 VW I.D. R,PRINCES STREET GARDENS 環道,00:47.398,02:31.167
#94 VW I.D. R,EDINBURGH 車站環道,00:49.695,02:35.779
Ferrari FXX K,AMBLESIDE GRAND PRIX(B),01:17.026,03:59.919
Bugatti Divo,AMBLESIDE SPRINT(B),01:05.224,03:24.264
McLaren Senna,AMBLESIDE 環路越野賽2圈(我) ,01:53.325,03:57.155
Honda NSX-R '92,AMBLESIDE 山路環道賽(我),02:08.330,04:21.882
Ferrari 599XX E,EMOLA(B),01:26.623,07:32.168
McLaren F1,EMOLA(我),01:36.222,04:54.343
McLaren 12C,EDINBURGH 城市環道賽(我),00:50.902,04:26.957
McLaren 570S,EDINBURGH 城市環道賽3圈(我),00:51.276,02:41.140
Chevy Camaro PO,EDINBURGH 南市環道賽(我),01:34.213,04:55.917
CORVETTE C8 '20,EDINBURGH 車站環道,00:55.694,02:54.258
Audi R8 V10 plus,愛丁堡圓環環道(我),01:14.933,03:53.057
Porsche Cayman,愛丁堡圓環環道(我),01:14.899,03:52.125
AM Vulcan FE,WORLD CHAMPIONSHIP MAZDA(我),01:07.663,03:30.225
Koenigsegg JESKO,WORLD CHAMPIONSHIP MAZDA(我),01:07.130,03:28.766
Regera,EDINBURGH 城市環道賽3圈(我),00:59.429,03:06.994
Lambo Centenario,BIG CHUNGUS 5.5+ PRACTICE(我),01:43.020,05:16.813
Pagani Huayra BC,PRINCES STREET GARDENS 環道,00:48.418,02:33.292
Pagani Huayra BC,EDINBURGH GRAND PRIX(B),01:35.368,04:55.020
Pagani Huayra BC,WORLD CHAMPIONSHIP MAZDA(我),01:07.364,03:31.846
Pagani Huayra BC,BIG CHUNGUS 5.5+ PRACTICE(我),01:42.655,05:18.582
Pagani Huayra BC,EMOLA(我),01:25.034,04:29.120
Pagani Huayra BC,EDINBURGH 南市環道賽(我),01:26.551,04:27.551
Pagani Huayra BC,EDINBURGH 城市環道賽3圈(我),00:47.827,02:32.415
Pagani Huayra BC,EDINBURGH 車站環道,00:49.433,02:37.991
Pagani Huayra BC,愛丁堡圓環環道(我),01:07.431,03:29.822
Pagani Huayra BC,AMBLESIDE SPRINT(B),01:02.056,03:14.916
Pagani Huayra BC,AMBLESIDE GRAND PRIX(B),01:16.558,03:57.627
Pagani Huayra BC,AMBLESIDE 環路越野賽2圈(我),01:54.658,03:55.668
Pagani Huayra BC,HORIZON GP -PARABOLICA CIRCUIT(B),01:46.798,11:01.517
Ferrari FXX K,HORIZON GP -PARABOLICA CIRCUIT(我),01:42.602,05:20.651
Ferrari FXX K,PRINCES STREET GARDENS 環道,00:47.458,02:30.649
Ferrari FXX K,EDINBURGH GRAND PRIX(B),01:35.287,04:54.132
Ferrari FXX K,WORLD CHAMPIONSHIP MAZDA(我),01:06.031,03:25.258
Ferrari FXX K,EMOLA(我),01:40.725,05:10.137
Ferrari FXX K,AMBLESIDE GRAND PRIX(B),01:16.732,03:58.564
Ferrari FXX K,AMBLESIDE SPRINT(B),01:02.393,03:13.524
Ferrari FXX K,AMBLESIDE 環路越野賽2圈(我),01:55.166,03:56.429
Ferrari FXX K,DERWENT水庫嘉年華環道(我),01:19.421,04:07.404
Pagani Huayra BC,DERWENT水庫嘉年華環道(我),01:24.197,04:22.057
Ferrari FXX K,BIG CHUNGUS 5.5+ PRACTICE(我),01:41.591,05:18.559
Ferrari FXX K,EDINBURGH 南市環道賽(我),01:26.022,04:25.504
Ferrari FXX K,EDINBURGH 城市環道賽3圈(我),00:47.398,02:35.161
M-B CLK-GTR,EDINBURGH 城市環道賽3圈(我),00:48.058,02:40.089
M-B CLK-GTR,EMOLA(我),01:26.626,04:33.783
M-B CLK-GTR,EDINBURGH 南市環道賽(我),01:25.934,04:30.174
M-B CLK-GTR,BIG CHUNGUS 5.5+ PRACTICE(我),01:42.053,05:21.773
M-B CLK-GTR,WORLD CHAMPIONSHIP MAZDA(我),01:07.965,03:32.064
M-B CLK-GTR,EDINBURGH 車站環道,00:49.992,02:36.358
M-B CLK-GTR,PRINCES STREET GARDENS 環道,00:48.792,02:34.594
M-B CLK-GTR,HORIZON GP -PARABOLICA CIRCUIT(我),01:43.493,05:26.430
M-B CLK-GTR,愛丁堡圓環環道(我),01:04.798,03:26.438
M-B CLK-GTR,AMBLESIDE GRAND PRIX(B),01:15.776,03:56.507
M-B CLK-GTR,AMBLESIDE SPRINT(B),01:02.756,03:14.950
M-B CLK-GTR,AMBLESIDE 環路越野賽2圈(我),01:51.458,03:52.220
M-B CLK-GTR,DERWENT水庫嘉年華環道(我),01:20.149,04:11.514
Ferrari FXX K,WATERHEAD山路環道(我),01:37.301,05:00.616
Acura NSX '17,WATERHEAD山路環道(我),01:47.913,05:34.544
Pagani Huayra BC,WATERHEAD山路環道(我),01:36.313,04:59.413
McLaren 570S,愛丁堡圓環環道(我),01:11.698,03:44.325
McLaren 12C,愛丁堡圓環環道(我),01:09.964,03:36.889
McLaren F1 GT,愛丁堡圓環環道(我),01:12.200,03:47.963
AM Vulcan FE,WORLD CHAMPIONSHIP MAZDA(我),01:06.236,03:29.169
McLaren Senna,WORLD CHAMPIONSHIP MAZDA(我),01:07.895,03:29.790
911 GT2 RS '18,WORLD CHAMPIONSHIP MAZDA(我),01:07.292,03:28.130
Pagani Zonda C,WORLD CHAMPIONSHIP MAZDA(我),01:06.461,03:26.815
GTA Spano,WORLD CHAMPIONSHIP MAZDA(我),01:05.224,03:23.054
McLaren P1,WORLD CHAMPIONSHIP MAZDA(我),01:06.329,03:28.427
Lotus Elise GT1,WORLD CHAMPIONSHIP MAZDA(我),01:06.769,03:28.078
LEGO Senna,WORLD CHAMPIONSHIP MAZDA(我),01:07.507,03:29.545
Lambo Centenario,WORLD CHAMPIONSHIP MAZDA(我),01:05.592,03:24.622
Alfa Romeo 8C FE,PRINCES STREET GARDENS 環道,00:52.161,02:46.718
Alfa Romeo 8C FE,愛丁堡圓環環道(我),01:11.111,03:47.472
Alfa Romeo 8C FE,EDINBURGH 車站環道,00:52.897,02:46.716
Alfa Romeo 8C FE,EDINBURGH 城市環道賽3圈(我),00:50.994,02:42.521
Alfa Romeo 8C FE,EMOLA(我),01:32.702,04:50.689
Alfa Romeo 8C FE,EDINBURGH 南市環道賽(我),01:31.696,04:43.929
Alfa Romeo 8C FE,BIG CHUNGUS 5.5+ PRACTICE(我),01:50.628,05:39.783
Alfa Romeo 8C FE,WORLD CHAMPIONSHIP MAZDA(我),01:12.661,03:44.787
Alfa Romeo 8C FE,HORIZON GP -PARABOLICA CIRCUIT(我),01:49.656,05:38.687
Alfa Romeo 8C FE,EDINBURGH GRAND PRIX(B),01:45.488,05:23.112
Pagani Huayra BC,LAKE DISTRICT SPRINT(我),02:02.664,06:14.250
Lambo Veneno,AMBLESIDE 環路越野賽2圈(我),01:56.765,03:58.784
Lambo Veneno,DERWENT水庫嘉年華環道(我),01:23.562,04:18.720
Lambo Veneno,WATERHEAD山路環道(我),01:37.850,05:04.212
Lambo Veneno,AMBLESIDE GRAND PRIX(B),01:17.327,04:00.782
Lambo Veneno,AMBLESIDE SPRINT(B),01:03.531,03:16.516
Lambo Veneno,EDINBURGH GRAND PRIX(B),01:36.523,05:00.316
Lambo Veneno,愛丁堡圓環環道(我),01:07.565,03:30.326
Lambo Veneno,HORIZON GP -PARABOLICA CIRCUIT(我),01:44.453,05:25.052
Rimac C_Two,PRINCES STREET GARDENS 環道,00:52.066,02:42.734
Rimac C_Two,EDINBURGH 城市環道賽3圈(我),00:51.919,02:50.072
Lambo Veneno,EDINBURGH 城市環道賽3圈(我),00:48.533,02:33.197
Lambo Veneno,EMOLA(我),01:26.254,04:28.038
Lambo Veneno,EDINBURGH 南市環道賽(我),01:26.860,04:29.481
Lambo Veneno,BIG CHUNGUS 5.5+ PRACTICE(我),01:42.481,05:18.768
Lambo Veneno,WORLD CHAMPIONSHIP MAZDA(我),01:08.234,03:33.234
Lambo Veneno,EDINBURGH 車站環道,00:49.762,02:40.261
AM Vulcan FE,BIG CHUNGUS 5.5+ PRACTICE(我),01:39.861,05:15.834
AM Vulcan FE,EDINBURGH 南市環道賽(我),01:23.863,04:23.049
AM Vulcan FE,EMOLA(我),01:24.527,04:21.626
AM Vulcan FE,EDINBURGH 城市環道賽3圈(我),00:46.597,02:29.103
McLaren Senna,EDINBURGH STOCKBRIDGE,01:49.846,01:49.846
McLaren Senna,EDINBURGH 新城,01:49.152,01:49.152
McLaren Senna,WATERHEAD山路環道(我),01:37.046,05:03.459
Apollo IE '18,WATERHEAD山路環道(我),01:34.590,04:51.876
Ascari KZ1R,愛丁堡圓環環道(我),01:11.160,03:43.956
AM Vulcan FE,愛丁堡圓環環道(我),01:05.539,03:25.939
Vantage S '13,愛丁堡圓環環道(我),01:13.726,03:48.686
Alfa Romeo 4C,愛丁堡圓環環道(我),01:11.088,03:42.956
ATS GT '18,愛丁堡圓環環道(我),01:11.799,03:46.266
BAC Mono,愛丁堡圓環環道(我),01:10.398,03:44.206
AM Vulcan FE,EDINBURGH GRAND PRIX(B),01:35.032,04:56.111
Lambo Veneno,BAMBURGH 海岸環道,00:49.736,02:37.805
Jaguar C-X75,EDINBURGH GRAND PRIX(B),01:39.026,05:05.319
Bugatti Divo,EDINBURGH GRAND PRIX(B),01:36.774,04:58.349
FERRARI F50 WP,EDINBURGH GRAND PRIX(B),01:34.865,04:55.589
Ferrari F40 C,EDINBURGH GRAND PRIX(B),01:33.065,04:50.320
McLaren P1,EDINBURGH GRAND PRIX(B),01:34.709,04:54.006
Bugatti Chiron,EDINBURGH GRAND PRIX(B),01:38.965,05:08.333
Ferrari FXX,EDINBURGH GRAND PRIX(B),01:32.260,04:45.701
Ferrari 599XX E,EDINBURGH GRAND PRIX(B),01:34.161,04:51.539
Ford GT WP,EDINBURGH GRAND PRIX(B),01:36.644,05:00.076
Porsche Cayman,愛丁堡圓環環道(我),01:11.400,03:46.597
Porsche Cayman,AMBLESIDE 環路越野賽2圈(我),02:08.333,04:22.554
Agera RS,EDINBURGH GRAND PRIX(B),01:32.841,04:47.720
Koenigsegg CCGT,EDINBURGH GRAND PRIX(B),01:33.289,04:51.549
Koenigsegg CCGT,愛丁堡圓環環道(我),01:04.822,03:22.472
Koenigsegg JESKO,EDINBURGH GRAND PRIX(B),01:31.036,04:42.934
KTM X-Bow GT4,EDINBURGH GRAND PRIX(B),01:32.136,04:47.766
Lambo Sesto,EDINBURGH GRAND PRIX(B),01:30.953,04:42.676
DIABLO GTR,EDINBURGH GRAND PRIX(B),01:34.367,04:53.985
Lambo Centenario,EDINBURGH GRAND PRIX(B),01:35.290,04:54.442
LEGO Senna,EDINBURGH GRAND PRIX(B),01:36.511,04:58.800
Lotus Elise GT1,EDINBURGH GRAND PRIX(B),01:36.332,04:57.377
M-B CLK-GTR,EDINBURGH GRAND PRIX(B),01:34.593,04:58.521
Pagani Zonda C,EDINBURGH GRAND PRIX(B),01:34.758,04:55.754
911 GT3 RS '19,EDINBURGH GRAND PRIX(B),01:35.858,04:57.645
911 GT2 RS '18,EDINBURGH GRAND PRIX(B),01:35.396,04:57.859
RAESR TS '19,EDINBURGH GRAND PRIX(B),01:38.062,05:06.375
Rimac Concept 2,EDINBURGH GRAND PRIX(B),01:37.853,05:08.801
GTA Spano,EDINBURGH GRAND PRIX(B),01:34.520,04:55.580
Lykan HyperSport,EDINBURGH GRAND PRIX(B),01:33.063,04:53.334
Lykan HyperSport,愛丁堡圓環環道(我),01:07.901,03:31.696
Lykan HyperSport,BIG CHUNGUS 5.5+ PRACTICE(我),01:43.844,05:19.014
Challenger '15,EDINBURGH GRAND PRIX(B),01:44.780,05:27.172
M-B AMG GTR,EDINBURGH GRAND PRIX(B),01:46.669,05:32.076
LEXUS LFA,PRINCES STREET GARDENS 環道,00:52.366,02:45.126
Ford Mustang '16,愛丁堡圓環環道(我),01:13.726,03:48.683
Ferrari 458,愛丁堡圓環環道(我),01:12.192,03:44.055
Dodge Charger '15,愛丁堡圓環環道(我),01:13.791,03:51.260
Audi R8 '13,愛丁堡圓環環道(我),01:11.904,03:45.955
Pagani Huayra BC,HORIZON GP -PARABOLICA CIRCUIT(我),01:44.897,05:23.917
Koenigsegg JESKO,AMBLESIDE GRAND PRIX(B),01:16.125,04:01.442
Koenigsegg JESKO,AMBLESIDE SPRINT(B),01:01.268,03:14.357
Chevy Camaro '15,WATERHEAD山路環道(我),01:46.599,05:29.777
Dodge Viper '08,HORIZON 嘉年華環道,00:36.865,02:37.260
Porsche Cayman,HORIZON 嘉年華環道,00:37.027,02:36.777
BMW M3 '05,HORIZON 嘉年華環道,00:41.566,02:55.912
Honda Civic '74,HORIZON 嘉年華環道,00:41.333,02:54.264
Honda S2000,HORIZON 嘉年華環道,00:40.330,02:51.180
HSV GEN-F GTS,HORIZON 嘉年華環道,00:41.163,02:57.610
Nissan GT-R '02,HORIZON 嘉年華環道,00:41.099,02:54.455
Subaru 22B,HORIZON 嘉年華環道,00:40.794,02:53.051
Toyota SUPRA '98,HORIZON 嘉年華環道,00:40.557,02:55.637
Lambo Sesto,HORIZON 嘉年華環道,00:32.303,02:17.326
Rimac Concept 2,HORIZON 嘉年華環道,00:36.759,02:33.785
KTM X-Bow GT4,HORIZON 嘉年華環道,00:33.000,02:18.889
AM Vulcan FE,HORIZON 嘉年華環道,00:33.030,02:20.690
AM Vulcan FE,HORIZON GP -PARABOLICA CIRCUIT(我),01:42.478,05:12.903
AM Vulcan FE,EDINBURGH GRAND PRIX(B),01:33.702,04:49.041
AM Vulcan FE,EDINBURGH GRAND PRIX(B),01:34.151,04:51.774
M-B C63,EDINBURGH GRAND PRIX(B),01:44.899,05:23.968
Lambo Sesto,GREENDALE 反向圓環(我),01:09.101,03:39.129
AM Vulcan FE,GREENDALE 反向圓環(我),01:10.066,03:40.193
Honda NSX-R '92,GREENDALE 反向圓環(我),01:20.096,04:10.785
Ford GT '05,GREENDALE 反向圓環(我),01:18.831,04:06.652
Ferrari FXX K,GREENDALE 反向圓環(我),01:10.359,03:44.896
McLaren Senna,GREENDALE 反向圓環(我),01:12.101,03:49.412
McLaren 12C,GREENDALE 反向圓環(我),01:18.566,04:03.759
M-B AMG GTR,GREENDALE 反向圓環(我),01:19.899,04:08.490
Nissan GT-R '12,GREENDALE 反向圓環(我),01:20.670,04:09.341
911 GT2 RS '18,GREENDALE 反向圓環(我),01:13.602,03:52.200
Dodge Viper '08,GREENDALE 反向圓環(我),01:16.899,04:03.034
CORVETTE C8 '20,GREENDALE 反向圓環(我),01:17.393,04:05.857
Bugatti Divo,GREENDALE 反向圓環(我),01:11.761,03:44.303
Toyota GT86,GREENDALE 反向圓環(我),01:19.798,04:06.517
Toyota GT86,EDINBURGH GRAND PRIX(B),01:45.156,05:23.048
Acura NSX '17,EDINBURGH GRAND PRIX(B),01:47.083,05:32.380
Acura NSX '17,GREENDALE 反向圓環(我),01:19.869,04:09.671
Bugatti EB110,EMOLA(我),01:36.395,04:58.977
Bugatti EB110,GREENDALE 反向圓環(我),01:19.089,04:06.519
AM DBS SL '19,EDINBURGH GRAND PRIX(B),01:45.292,05:26.792
Challenger '15,EDINBURGH 南市環道賽(我),01:33.617,04:47.833
CORVETTE C8 '20,PRINCES STREET GARDENS 環道,00:51.098,
CORVETTE C8 '20,PRINCES STREET GARDENS 環道,00:50.600,
Challenger '15,WATERHEAD山路環道(我),01:47.676,05:32.412
Challenger '15,HORIZON 嘉年華環道,00:36.898,02:37.561
CORVETTE C8 '20,HORIZON 嘉年華環道,00:36.103,02:34.101
