team,Restricted Area,Mid High Post,Left Wing,Top of the Key,Right Wing,Left Conor,Right Conor,Right Low Post,Left Low Post,Mid MidRange,MidRange Left Wing,MidRange Right Wing,MidRange Left Conor,MidRange Right Conor
Average,66.82,45.19,35.63,35.11,35.28,38.53,38.84,43.14,41.76,42.12,40.76,41.51,43.03,39.1
ATL,65.28,47.1,35.57,32.77,34.16,39.85,40.49,43.17,38.76,42.86,35.06,40.91,42.22,47.06
BOS,71.37,43.9,38.24,34.47,36.56,36.36,40.89,41.11,45.19,41.63,42.23,38.12,47.62,44.74
BRK,63.05,39.92,36.23,31.97,34.37,33.8,35.96,40.24,32.68,43.7,46.07,36.84,34.62,34.48
CHI,63.37,50.83,37.17,34.9,35.99,42.89,34.45,46.5,43.67,33.04,34.23,35.79,38.1,41.46
CHO,63.25,38.11,32.99,35.21,31.54,36.5,37.89,41.28,30.95,35.71,38.32,42.68,48.28,25.49
CLE,68.12,51.55,38.82,37.44,36.93,41.22,38.83,45.83,45.13,38.85,44.63,36.51,38.24,32.35
DAL,69.2,46.34,38.53,36.74,33.64,40,36.22,41.28,45.83,43.71,42.68,41.81,44.29,37.04
DEN,68.34,47.82,37.34,37.52,36.42,40.05,38.94,50,44.95,38.69,40.52,43.81,49.18,44.74
DET,66.31,47.16,36.35,36.3,34.84,37.18,37.94,44.71,44.13,42.86,30.89,38.18,46.34,39.29
GSW,66.7,42.25,36.08,35.27,35.84,36.72,40.17,41.3,42.82,32.04,40.68,40.85,46,31.43
HOU,65.11,42.57,34.84,34.84,36.71,37.1,36.34,32.92,41.67,41.78,42.78,38.24,25,38.71
IND,68.24,48.66,33.43,39.09,34.99,40.6,41.58,50.51,45.42,49.84,41.08,49.13,43.28,34.57
LAC,67.63,46.53,38.22,35.16,36.7,37.47,41.55,50.34,43.77,42.79,43.1,45.45,33.33,28.57
LAL,71.94,42.78,35.93,38.4,32.9,36.67,44.08,44.23,42.06,44.75,40.91,35.85,50,28.57
MEM,68.4,46.92,34.88,36.62,39.51,36.35,37.23,42.62,45.98,43.55,45.56,37.25,32.14,40
MIA,65.51,45.96,36.15,36.96,34.39,40.45,37.67,42.32,49.66,40,47.27,36.54,43.1,42.86
MIL,69.1,45.36,36.71,36.53,37.96,44.39,42.39,43.67,41.89,46.42,42.11,39.15,46.32,42.86
MIN,67.41,42.02,36.73,37.8,36.31,39.81,39.07,40.52,40.36,44.83,27.78,36.54,47.62,26.09
NOP,63.55,41.42,35.14,32.39,34.32,39.88,35.41,41.82,38.96,42.02,31.25,41.51,46.51,47.62
NYK,66.14,47.28,36.47,33.19,39.37,35.79,41.04,44.29,45.5,39.74,39.25,38.46,43.08,49.32
OKC,67.74,46.33,34.59,37.41,36.22,39.13,41.44,46.98,44.91,51.35,42.79,42.57,45.33,47.69
ORL,67.27,41.23,29.74,29.46,32.81,32.81,36.96,40.84,41.26,40.89,39.76,38.54,55.77,40
PHI,64.6,45.3,33.7,32.83,33.79,38.98,37.95,39.37,30.96,39.58,40.24,41.86,43.9,50
PHO,72.32,47.91,37.11,34.33,35.97,44.17,40.22,46.21,43.77,47.97,47.6,49.78,48.21,52.94
POR,64.02,38.82,33.29,32.66,35.1,34.43,36.5,39.3,27.98,45.26,47.17,48.89,25,34.21
SAC,69.95,50.17,35.92,32.54,35.17,42.12,36.94,52.92,46.96,43.28,43.45,44.68,47.83,36.21
SAS,67.14,43.43,35.1,34.81,34.13,37.7,40.71,38.94,42.08,41.23,38.6,44.56,28.21,31.58
TOR,62.62,43.57,32.08,33.97,35.69,36.36,39.4,41.8,35.05,38.62,38.74,33.71,44.44,46.81
UTA,68.18,47.63,33.9,35.19,30.4,39.88,40,44.99,41.5,32.52,35.25,43.22,35,33.33
WAS,67.82,42.23,35.19,32.83,32.76,35.22,33.07,34.73,30.82,35.32,43.59,43.64,32,20
