player,Value,Games,Games Start,Minutes Played,Field Goals,Field Goal Attempts,3-Point Field Goals,3-Point Field Goal Attempts,Free Throws,Free Throw Attempts,Offensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points, ,Field Goal Percentage,3-Point Field Goal Percentage,Free Throw Percentage,True Shooting Percentage,Usage Percentage,Offensive Rating,Defensive Rating,plus_minus_per_200_poss,Minutes Played Per Game,Points Per Game,Total Rebounds Per Game,Assists Per Game
A.J. Green,Total,73,7,1659,182,424,155,363,22,27,18,174,108,37,7,40,157,541,,0.429,0.427,0.815,0.621,12.6,116,116,6.6,22.7,7.4,2.4,1.5
A.J. Green,ATL,4,0,91,9,30,7,25,0,0,0,10,7,0,0,3,11,25,,0.3,0.28,,0.417,15.4,82,116,-12.0,22.7,6.3,2.5,1.8
A.J. Green,BOS,3,0,52,7,12,7,10,0,0,0,6,0,3,0,1,1,21,,0.583,0.7,,0.875,11.1,147,117,3.8,17.5,7.0,2.0,0.0
A.J. Green,BRK,3,0,64,6,14,5,13,2,2,1,7,3,0,0,1,3,19,,0.429,0.385,1.0,0.638,11.1,120,122,3.9,21.3,6.3,2.3,1.0
A.J. Green,CHI,4,0,88,14,25,10,19,4,5,1,7,6,2,2,2,5,42,,0.56,0.526,0.8,0.772,14.6,139,109,17.5,21.9,10.5,1.8,1.5
A.J. Green,CHO,3,0,65,7,13,5,11,0,0,1,8,1,1,1,3,10,19,,0.538,0.455,,0.731,11.3,111,118,13.6,21.6,6.3,2.7,0.3
A.J. Green,CLE,3,1,70,8,16,7,14,0,0,0,10,5,1,1,2,3,23,,0.5,0.5,,0.719,11.1,123,120,-15.2,23.4,7.7,3.3,1.7
A.J. Green,DAL,2,0,50,7,12,7,12,3,3,0,3,3,0,0,1,6,24,,0.583,0.583,1.0,0.901,12.1,169,112,18.6,24.8,12.0,1.5,1.5
A.J. Green,DEN,2,0,54,7,13,7,12,0,0,1,6,7,1,0,2,4,21,,0.538,0.583,,0.808,12.4,142,123,-6.2,26.9,10.5,3.0,3.5
A.J. Green,DET,4,2,85,10,19,9,16,0,0,1,14,5,2,1,5,6,29,,0.526,0.563,,0.763,12.5,114,117,5.6,21.4,7.3,3.5,1.3
A.J. Green,GSW,2,0,36,2,10,1,6,1,2,0,4,0,1,0,1,5,6,,0.2,0.167,0.5,0.276,14.7,51,120,-24.8,18.0,3.0,2.0,0.0
A.J. Green,HOU,2,0,62,6,14,5,13,0,0,1,10,3,1,0,0,6,17,,0.429,0.385,,0.607,10.0,122,104,17.5,30.8,8.5,5.0,1.5
A.J. Green,IND,4,0,75,9,25,8,23,0,1,2,7,8,1,0,1,10,26,,0.36,0.348,0.0,0.511,15.0,114,117,-12.6,18.8,6.5,1.8,2.0
A.J. Green,LAC,1,0,30,3,8,3,8,0,0,1,3,2,0,0,0,3,9,,0.375,0.375,,0.563,11.5,128,118,29.8,30.3,9.0,3.0,2.0
A.J. Green,LAL,2,0,42,3,7,3,6,0,0,1,3,4,3,0,0,4,9,,0.429,0.5,,0.643,7.4,147,99,46.8,20.8,4.5,1.5,2.0
A.J. Green,MEM,2,0,33,5,9,3,7,1,1,1,3,1,2,0,0,2,14,,0.556,0.429,1.0,0.742,12.3,143,127,-20.3,16.4,7.0,1.5,0.5
A.J. Green,MIA,3,1,92,8,18,6,14,2,3,0,5,6,1,0,2,9,24,,0.444,0.429,0.667,0.621,11.1,118,120,12.7,30.7,8.0,1.7,2.0
A.J. Green,MIN,2,0,43,6,14,6,13,0,0,0,5,2,0,0,1,6,18,,0.429,0.462,,0.643,15.7,114,110,17.7,21.3,9.0,2.5,1.0
A.J. Green,NOP,2,0,45,3,10,3,8,0,0,0,6,4,1,0,1,6,9,,0.3,0.375,,0.45,10.4,97,111,28.6,22.7,4.5,3.0,2.0
A.J. Green,NYK,3,0,75,8,17,7,16,0,0,0,4,1,0,0,0,12,23,,0.471,0.438,,0.676,10.2,133,136,-17.5,25.1,7.7,1.3,0.3
A.J. Green,OKC,2,1,40,4,9,2,6,0,0,0,3,4,0,0,3,3,10,,0.444,0.333,,0.556,13.0,85,130,-51.2,19.9,5.0,1.5,2.0
A.J. Green,ORL,4,0,96,3,18,3,13,2,3,2,14,6,4,1,3,6,11,,0.167,0.231,0.667,0.285,10.7,69,110,24.8,24.1,2.8,3.5,1.5
A.J. Green,PHI,3,0,48,7,12,6,9,3,3,1,6,3,2,0,1,2,23,,0.583,0.667,1.0,0.863,12.4,161,121,54.2,16.0,7.7,2.0,1.0
A.J. Green,PHO,1,0,21,1,5,0,4,0,0,0,2,2,1,0,1,1,2,,0.2,0.0,,0.2,13.6,52,120,-2.5,20.6,2.0,2.0,2.0
A.J. Green,POR,1,0,30,7,13,7,13,0,0,0,2,3,1,0,1,2,21,,0.538,0.538,,0.808,20.4,138,110,6.5,30.0,21.0,2.0,3.0
A.J. Green,SAC,2,0,56,6,18,5,16,2,2,2,6,4,0,0,1,4,19,,0.333,0.313,1.0,0.503,15.4,112,121,17.9,27.8,9.5,3.0,2.0
A.J. Green,SAS,2,0,42,5,12,4,9,0,0,0,3,1,2,0,0,6,14,,0.417,0.444,,0.583,11.9,117,123,14.3,21.2,7.0,1.5,0.5
A.J. Green,TOR,3,1,63,8,21,7,20,0,0,2,9,5,3,0,2,10,23,,0.381,0.35,,0.548,15.4,110,100,15.0,20.9,7.7,3.0,1.7
A.J. Green,UTA,1,0,18,4,6,4,6,0,0,0,0,2,1,0,1,0,12,,0.667,0.667,,1.0,16.9,167,110,33.8,18.4,12.0,0.0,2.0
A.J. Green,WAS,3,1,94,9,24,8,21,2,2,0,8,10,3,1,1,11,28,,0.375,0.381,1.0,0.563,11.9,120,108,-1.0,31.3,9.3,2.7,3.3
A.J. Lawson,Total,26,2,486,80,190,33,101,43,63,20,86,31,13,6,15,44,236,,0.421,0.327,0.683,0.542,19.0,113,112,-1.7,18.7,9.1,3.3,1.2
A.J. Lawson,BOS,1,0,4,0,3,0,3,0,0,1,1,0,0,0,0,0,0,,0.0,0.0,,0.0,32.2,14,141,-106.7,4.0,0.0,1.0,0.0
A.J. Lawson,BRK,2,0,38,6,15,1,7,2,3,0,4,0,2,0,2,3,15,,0.4,0.143,0.667,0.46,18.8,83,95,-6.1,19.0,7.5,2.0,0.0
A.J. Lawson,CHI,1,0,13,5,6,2,3,1,2,1,6,1,0,0,0,2,13,,0.833,0.667,0.5,0.945,22.4,179,133,-14.0,13.0,13.0,6.0,1.0
A.J. Lawson,CHO,2,0,37,6,12,2,7,2,4,2,7,7,1,2,0,1,16,,0.5,0.286,0.5,0.581,15.4,141,95,14.1,18.6,8.0,3.5,3.5
A.J. Lawson,DAL,1,0,32,3,10,1,4,5,6,2,10,2,1,0,0,3,12,,0.3,0.25,0.833,0.475,16.1,117,120,-14.9,31.6,12.0,10.0,2.0
A.J. Lawson,DET,1,0,23,2,7,1,4,4,6,1,3,1,1,2,1,2,9,,0.286,0.25,0.667,0.467,19.0,102,116,-4.2,23.2,9.0,3.0,1.0
A.J. Lawson,GSW,1,0,10,0,2,0,1,0,0,0,2,0,0,0,0,1,0,,0.0,0.0,,0.0,8.5,0,117,0.0,10.3,0.0,2.0,0.0
A.J. Lawson,MEM,1,0,5,2,3,1,1,1,2,0,2,0,0,0,0,0,6,,0.667,1.0,0.5,0.773,26.1,142,129,-34.8,5.5,6.0,2.0,0.0
A.J. Lawson,NYK,1,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0,3,,1.0,1.0,,1.5,10.7,300,139,71.4,4.2,3.0,0.0,0.0
A.J. Lawson,ORL,3,0,42,6,9,3,4,0,1,0,2,1,0,2,1,5,15,,0.667,0.75,0.0,0.794,10.8,120,117,6.1,14.0,5.0,0.7,0.3
A.J. Lawson,PHI,2,0,40,10,22,4,11,4,6,2,9,4,0,0,3,4,28,,0.455,0.364,0.667,0.568,25.4,113,105,0.0,20.2,14.0,4.5,2.0
A.J. Lawson,PHO,2,0,26,4,9,2,5,2,2,0,4,0,1,0,1,2,12,,0.444,0.4,1.0,0.607,18.3,107,133,-61.5,13.1,6.0,2.0,0.0
