player,points_pr,rebounds_pr,assists_pr,steals_pr,blocks_pr,Points Per Game,Total Rebounds Per Game,Steals Per Game,Assists Per Game,Blocks Per Game
A.J. Green,5.1,3.5,5.0,3.7,1.9,7.4,2.4,0.5,1.5,0.1
A.J. Lawson,6.2,5.3,4.0,3.7,3.6,9.1,3.3,0.5,1.2,0.2
Aaron Gordon,8.3,7.6,7.9,3.7,5.2,14.7,4.8,0.5,3.2,0.3
Aaron Holiday,3.6,1.6,4.3,2.1,3.6,5.5,1.3,0.3,1.3,0.2
Aaron Nesmith,7.5,6.7,4.0,6.5,6.2,12.0,4.0,0.8,1.2,0.4
Aaron Wiggins,7.5,6.5,5.8,6.5,3.6,12.0,3.9,0.8,1.8,0.2
Adam Flagler,1.0,0.6,0.7,1.4,1.9,1.8,0.7,0.2,0.3,0.1
Adama Sanogo,1.2,2.0,0.7,0.3,0.6,2.0,1.5,0.0,0.3,0.0
Adem Bona,3.8,6.9,1.4,2.9,9.5,5.8,4.2,0.4,0.5,1.2
AJ Johnson,5.2,2.8,7.4,2.9,1.9,7.6,2.0,0.4,2.6,0.1
Ajay Mitchell,4.4,2.7,5.8,5.6,1.9,6.5,1.9,0.7,1.8,0.1
Al Horford,6.1,8.8,6.5,4.7,8.8,9.0,6.2,0.6,2.1,0.8
Alec Burks,5.1,3.7,3.6,4.7,1.9,7.3,2.5,0.6,1.1,0.1
Alex Caruso,4.9,4.4,7.2,9.7,8.0,7.1,2.9,1.6,2.5,0.6
Alex Ducas,0.9,1.4,0.4,1.4,0.6,1.7,1.2,0.2,0.2,0.0
Alex Len,0.8,3.0,2.4,1.4,7.2,1.6,2.1,0.2,0.8,0.5
Alex Reese,3.4,4.9,0.7,5.6,8.4,5.1,3.1,0.7,0.3,0.7
Alex Sarr,7.8,8.9,7.1,5.6,9.8,13.0,6.5,0.7,2.4,1.5
Alondes Williams,3.3,0.1,3.1,0.3,0.6,5.0,0.0,0.0,1.0,0.0
Alperen Şengün,9.0,9.8,9.1,8.6,8.8,19.1,10.3,1.1,4.9,0.8
Amen Thompson,8.1,9.5,8.4,9.4,9.6,14.1,8.2,1.4,3.8,1.3
Amir Coffey,6.5,3.2,3.6,4.7,1.9,9.7,2.2,0.6,1.1,0.1
